Candidate,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
0,1,0.9999525166191833,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961
0,2,0.9992402659069326,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
0,3,0.98670465337132,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
0,4,0.9998581962563812,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
0,5,0.9927680090754396,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
1,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
1,2,0.9994776828110161,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
1,3,0.994017094017094,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
1,4,0.9997163925127623,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
1,5,0.9924371336736624,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
2,1,1.0,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961
2,2,0.9988129154795822,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
2,3,0.9869420702754036,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
2,4,0.9997163925127623,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
2,5,0.9962658347513706,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
3,1,1.0,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
3,2,0.9981481481481481,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
3,3,0.9881291547958215,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
3,4,0.9999054641709207,0.995260663507109,0.9939024390243902,0.9923076923076923,1.0,0.9961389961389961
3,5,0.9943751181697864,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
4,1,1.0,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961
4,2,0.9994776828110161,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
4,3,0.9921177587844254,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
4,4,0.9997636604273019,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
4,5,0.9925316695027415,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
5,1,0.9998100664767331,0.990521327014218,0.9876543209876543,0.9848484848484849,1.0,0.9923664122137404
5,2,0.9993827160493827,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
5,3,0.9949667616334283,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
5,4,0.9996218566836831,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
5,5,0.9922953299300435,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
6,1,1.0,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
6,2,0.9991452991452991,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
6,3,0.9864197530864198,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
6,4,0.9999527320854604,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
6,5,0.9931461523917564,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
7,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
7,2,0.9965811965811966,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
7,3,0.9897435897435898,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
7,4,0.9999054641709207,0.995260663507109,0.9939024390243902,0.9923076923076923,1.0,0.9961389961389961
7,5,0.9940442427680091,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
