Candidate,params,roc_auc_mean,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean
0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.8854160332421201,0.8014455782312926,0.8008226073443465,0.7813669215774479,0.8007905138339921,0.7858196625822099
1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.8726371856806638,0.7852891156462586,0.7831784962219744,0.76943115364168,0.7652173913043478,0.7633208139131484
2,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100}",0.8713754039840996,0.8017857142857142,0.8006610137044919,0.7802626298186939,0.7924901185770752,0.7837224157955865
3,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.8635868157607287,0.7852891156462585,0.7854188484623267,0.7551216931216931,0.7924901185770752,0.7714420284732872
4,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100}",0.8699390786347309,0.7935374149659864,0.7912108825152304,0.78116989798912,0.7656126482213439,0.7709803189321797
5,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.8553691879778835,0.7687074829931972,0.7665929078972556,0.7497653457653458,0.7474308300395258,0.7454112554112554
6,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.8621797687015078,0.7852891156462585,0.7854188484623267,0.7551216931216931,0.7924901185770752,0.7714420284732872
7,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.8553061270452575,0.7809523809523811,0.7801740932175715,0.756609022556391,0.7743083003952569,0.7634102484184707
