Candidate,params,roc_auc_mean,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean
0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.874044232739885,0.7893707482993197,0.7889249237075324,0.7626262626262628,0.7920948616600791,0.7732838589981447
1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.8591438352307919,0.7769557823129253,0.7760430390865173,0.7532345018815607,0.7743083003952569,0.759453169710339
2,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100}",0.8708551512899338,0.8018707482993197,0.80085864216299,0.7809584135671093,0.7928853754940712,0.7841040843214756
3,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.8576748533270273,0.8017857142857142,0.8020596151030933,0.7712659743002993,0.8106719367588934,0.7884187581006245
4,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100}",0.8619066923414749,0.7727891156462585,0.7721968852403635,0.7469103912096238,0.7743083003952569,0.7562208464780158
5,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.8387408083060258,0.7558673469387756,0.7526164656599438,0.7429090909090907,0.7197628458498023,0.729474982381959
6,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.8525663547402678,0.7851190476190476,0.7852763983198766,0.7545156955934987,0.7924901185770751,0.7710032991634265
7,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.8453233561929213,0.7726190476190475,0.7709407339842123,0.7509402854963496,0.7561264822134387,0.7520357674254194
