mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__depth,param_model__iterations,param_model__learning_rate,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.10906171798706055,0.005980046555231225,0.032007789611816405,0.0007537406392881641,4,100,0.05,"{'model__depth': 4, 'model__iterations': 100, 'model__learning_rate': 0.05}",0.9163879598662208,0.8720538720538721,0.8513986013986015,0.8846153846153846,0.8706293706293706,0.8790170377126898,0.0214920635127308,2,0.8367346938775511,0.7959183673469388,0.7708333333333334,0.7916666666666666,0.8541666666666666,0.8098639455782314,0.030769390680372728,1,0.8386287625418061,0.7811447811447811,0.7674825174825175,0.7937062937062938,0.8548951048951049,0.8071714919541007,0.033766904030371435,2,0.8,0.875,0.7619047619047619,0.75,0.8260869565217391,0.8025983436853001,0.04521729650601702,3,0.8695652173913043,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.8636363636363636,0.78300395256917,0.08926507975807768,3,0.8333333333333334,0.7368421052631579,0.7441860465116279,0.782608695652174,0.8444444444444444,0.7882829250409474,0.044286668566549586,2
0.10291967391967774,0.0022497502791944957,0.03188786506652832,0.0007833421215576345,4,100,0.1,"{'model__depth': 4, 'model__iterations': 100, 'model__learning_rate': 0.1}",0.9046822742474916,0.8400673400673401,0.8129370629370629,0.8986013986013985,0.8513986013986014,0.861537335450379,0.0351026256549516,7,0.8367346938775511,0.8163265306122449,0.7708333333333334,0.7916666666666666,0.8333333333333334,0.8097789115646258,0.025175812913056417,2,0.8411371237458194,0.8038720538720538,0.7674825174825175,0.7937062937062938,0.8356643356643356,0.808372464894204,0.027297278823385198,1,0.7777777777777778,0.8823529411764706,0.7619047619047619,0.75,0.7916666666666666,0.7927404295051353,0.04697450132154003,4,0.9130434782608695,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.8636363636363636,0.800790513833992,0.0853370576632106,1,0.84,0.7692307692307693,0.7441860465116279,0.782608695652174,0.8260869565217391,0.7924224935832621,0.03565904293763262,1
0.18562774658203124,0.03444698442000174,0.03857951164245606,0.009196752431126649,4,200,0.05,"{'model__depth': 4, 'model__iterations': 200, 'model__learning_rate': 0.05}",0.9130434782608695,0.8518518518518519,0.8461538461538461,0.8828671328671329,0.8531468531468531,0.8694126324561108,0.02529269467325153,5,0.8163265306122449,0.7959183673469388,0.7708333333333334,0.8125,0.8333333333333334,0.80578231292517,0.021138094373333263,5,0.8219063545150501,0.7853535353535352,0.7674825174825175,0.8129370629370629,0.8321678321678322,0.8039694604911997,0.02397977441475775,4,0.75,0.8333333333333334,0.7619047619047619,0.782608695652174,0.8181818181818182,0.7892057218144175,0.0319775297614456,6,0.9130434782608695,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.791699604743083,0.0804384243283162,2,0.8235294117647058,0.75,0.7441860465116279,0.8,0.8181818181818182,0.7871794552916305,0.03369741029009624,4
0.23932929039001466,0.003883691587643578,0.046119308471679686,0.00398015661926164,4,200,0.1,"{'model__depth': 4, 'model__iterations': 200, 'model__learning_rate': 0.1}",0.8745819397993311,0.8417508417508417,0.8076923076923077,0.8846153846153847,0.8601398601398601,0.853756066799545,0.02717632289782292,8,0.7346938775510204,0.7959183673469388,0.7708333333333334,0.7708333333333334,0.7916666666666666,0.7727891156462585,0.021680505304099863,8,0.7374581939799332,0.7811447811447811,0.7674825174825175,0.770979020979021,0.7902097902097902,0.7694548607592087,0.017874122202113308,8,0.6923076923076923,0.875,0.7619047619047619,0.7391304347826086,0.7727272727272727,0.7682140323444671,0.06011829542706856,8,0.782608695652174,0.6363636363636364,0.7272727272727273,0.7727272727272727,0.7727272727272727,0.7383399209486166,0.05449100794088678,8,0.7346938775510204,0.7368421052631579,0.7441860465116279,0.7555555555555555,0.7727272727272727,0.7488009715217269,0.014010099287200473,8
0.2397480010986328,0.04379794703192674,0.04050450325012207,0.00699352381040574,6,100,0.05,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.05}",0.9297658862876255,0.8569023569023568,0.8409090909090909,0.9038461538461539,0.8881118881118881,0.883907075211423,0.031926037419850076,1,0.8571428571428571,0.7959183673469388,0.7916666666666666,0.7916666666666666,0.8125,0.8097789115646258,0.024895658977052752,2,0.8578595317725752,0.7853535353535352,0.7867132867132867,0.7937062937062938,0.8094405594405594,0.80661464139725,0.027013880102407396,3,0.8333333333333334,0.8333333333333334,0.8,0.75,0.8095238095238095,0.8052380952380952,0.030580179729528246,1,0.8695652173913043,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.773913043478261,0.06598068123361654,4,0.851063829787234,0.75,0.7619047619047619,0.782608695652174,0.7906976744186046,0.7872549923525549,0.03503020555619484,3
0.1821053981781006,0.005155205184068937,0.03167071342468262,0.0007587989960006683,6,100,0.1,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.1}",0.8979933110367893,0.8451178451178452,0.8426573426573426,0.9055944055944056,0.8706293706293707,0.8723984550071506,0.02603444983033628,3,0.7959183673469388,0.8163265306122449,0.75,0.8333333333333334,0.8333333333333334,0.8057823129251702,0.031107111197751513,4,0.8001672240802675,0.8038720538720538,0.7482517482517483,0.8321678321678322,0.8286713286713286,0.802626037408646,0.030050745334785516,5,0.7407407407407407,0.8823529411764706,0.7272727272727273,0.8181818181818182,0.85,0.8037096454743514,0.06057176585074642,2,0.8695652173913043,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.773913043478261,0.06598068123361654,4,0.8,0.7692307692307693,0.7272727272727273,0.8181818181818182,0.8095238095238095,0.7848418248418249,0.03319166115183207,5
0.3118595123291016,0.010370676062733522,0.03680286407470703,0.0069754234468318846,6,200,0.05,"{'model__depth': 6, 'model__iterations': 200, 'model__learning_rate': 0.05}",0.9147157190635451,0.8451178451178452,0.833916083916084,0.8916083916083917,0.8723776223776223,0.8715471324166977,0.029601600447944448,4,0.8163265306122449,0.7959183673469388,0.7916666666666666,0.7916666666666666,0.8125,0.8016156462585033,0.01063299253900722,6,0.8193979933110368,0.7853535353535352,0.7867132867132867,0.7937062937062938,0.8094405594405594,0.7989223337049424,0.013343656915127509,6,0.7692307692307693,0.8333333333333334,0.8,0.75,0.8095238095238095,0.7924175824175824,0.029533351787822255,5,0.8695652173913043,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.773913043478261,0.06598068123361654,4,0.8163265306122449,0.75,0.7619047619047619,0.782608695652174,0.7906976744186046,0.780307532517557,0.02309903512171488,6
0.3202511310577393,0.010406248979332287,0.033649349212646486,0.0018898562870158125,6,200,0.1,"{'model__depth': 6, 'model__iterations': 200, 'model__learning_rate': 0.1}",0.899665551839465,0.8265993265993267,0.8251748251748252,0.8986013986013985,0.8723776223776224,0.8644837449185274,0.03299850740620454,6,0.7755102040816326,0.7959183673469388,0.75,0.8125,0.8125,0.7892857142857143,0.02389531434152346,7,0.7784280936454849,0.7853535353535352,0.7482517482517483,0.8129370629370629,0.8094405594405594,0.7868821999256781,0.023468515059318996,7,0.7307692307692307,0.8333333333333334,0.7272727272727273,0.782608695652174,0.8095238095238095,0.7767015593102549,0.04212443575797528,7,0.8260869565217391,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.7652173913043478,0.05470275765368602,7,0.7755102040816326,0.75,0.7272727272727273,0.8,0.7906976744186046,0.7686961211545928,0.02674275756107827,7
