Analysis,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd
Original measurements,0.9970995330307109,0.0035151898283825164,0.9876777251184834,0.007930426791792178,0.9881238920320031,0.008106143847712275,0.9937978861765714,0.006450735959067859,0.9860942158616577,0.008481180213499043,0.9899189746064746,0.006478675871468744
Flagged measurements set to missing,0.9973082013467719,0.003222036867090665,0.9876777251184834,0.007930426791792178,0.9881238920320031,0.008106143847712275,0.9937978861765714,0.006450735959067859,0.9860942158616577,0.008481180213499043,0.9899189746064746,0.006478675871468744
