Analysis,Predictors,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd
All eight predictors,8,0.9973082013467719,0.003222036867090665,0.9876777251184834,0.007930426791792178,0.9881238920320031,0.008106143847712275,0.9937978861765714,0.006450735959067859,0.9860942158616577,0.008481180213499043,0.9899189746064746,0.006478675871468744
Without troponin and kcm,6,0.6079968746616506,0.032847843435418786,0.5990521327014218,0.028944893809672956,0.5822066493970446,0.030302252683843404,0.6801220167995383,0.024624286287515604,0.6558616577221228,0.03295131854376878,0.6675457405488365,0.02595215666000601
