Feature,Mean_AUC_decrease,Shuffle_SD
troponin,0.35946602921003784,0.024728572160125258
kcm,0.15233801339465822,0.01708576905217302
impluse,0.0009218913903009218,0.001260430836566029
age,0.0004901960784313116,0.00044672804487921327
glucose,0.0003974017590574993,0.001121374119588537
pressurelow,-0.00015936415718553754,0.0011349063374990857
pressurehight,-0.0011014282256112747,0.002054549387179761
gender,-0.002176631969660344,0.0016938191928072782
