Candidate,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
0,1,0.9598662207357859,0.8775510204081632,0.8770903010033444,0.8695652173913043,0.8695652173913043,0.8695652173913043
0,2,0.8425925925925926,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
0,3,0.8968531468531469,0.7916666666666666,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.7727272727272727
0,4,0.8951048951048951,0.8125,0.8164335664335665,0.76,0.8636363636363636,0.8085106382978723
0,5,0.8653846153846154,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086
1,1,0.9657190635451505,0.8775510204081632,0.8770903010033444,0.8695652173913043,0.8695652173913043,0.8695652173913043
1,2,0.8358585858585859,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
1,3,0.8924825174825175,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279
1,4,0.888986013986014,0.8125,0.8129370629370629,0.782608695652174,0.8181818181818182,0.8
1,5,0.8758741258741259,0.8125,0.8129370629370629,0.782608695652174,0.8181818181818182,0.8
2,1,0.959866220735786,0.8571428571428571,0.8603678929765886,0.8076923076923077,0.9130434782608695,0.8571428571428571
2,2,0.8872053872053872,0.8163265306122449,0.8080808080808081,0.8421052631578947,0.7272727272727273,0.7804878048780488
2,3,0.8846153846153847,0.8125,0.8059440559440559,0.8421052631578947,0.7272727272727273,0.7804878048780488
2,4,0.8968531468531469,0.8125,0.8164335664335665,0.76,0.8636363636363636,0.8085106382978723
2,5,0.903846153846154,0.8333333333333334,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8181818181818182
3,1,0.9531772575250836,0.8367346938775511,0.8386287625418061,0.8,0.8695652173913043,0.8333333333333334
3,2,0.8703703703703705,0.8163265306122449,0.8080808080808081,0.8421052631578947,0.7272727272727273,0.7804878048780488
3,3,0.8846153846153846,0.8333333333333334,0.8251748251748252,0.8888888888888888,0.7272727272727273,0.8
3,4,0.8916083916083917,0.8333333333333334,0.8391608391608392,0.7692307692307693,0.9090909090909091,0.8333333333333334
3,5,0.9038461538461539,0.8125,0.8129370629370629,0.782608695652174,0.8181818181818182,0.8
4,1,0.9289297658862876,0.8367346938775511,0.8411371237458194,0.7777777777777778,0.9130434782608695,0.84
4,2,0.7777777777777778,0.7551020408163265,0.7483164983164983,0.75,0.6818181818181818,0.7142857142857143
4,3,0.9082167832167832,0.8333333333333334,0.8286713286713286,0.85,0.7727272727272727,0.8095238095238095
4,4,0.8522727272727273,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086
4,5,0.833041958041958,0.7083333333333334,0.7062937062937062,0.6818181818181818,0.6818181818181818,0.6818181818181818
5,1,0.9247491638795986,0.8163265306122449,0.8193979933110368,0.7692307692307693,0.8695652173913043,0.8163265306122449
5,2,0.7744107744107744,0.7755102040816326,0.7668350168350169,0.7894736842105263,0.6818181818181818,0.7317073170731707
5,3,0.9160839160839161,0.8333333333333334,0.8286713286713286,0.85,0.7727272727272727,0.8095238095238095
5,4,0.8767482517482518,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086
5,5,0.8417832167832168,0.75,0.7447552447552448,0.75,0.6818181818181818,0.7142857142857143
6,1,0.9531772575250836,0.8571428571428571,0.8603678929765886,0.8076923076923077,0.9130434782608695,0.8571428571428571
6,2,0.7996632996632997,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
6,3,0.8391608391608392,0.8125,0.8094405594405594,0.8095238095238095,0.7727272727272727,0.7906976744186046
6,4,0.8706293706293706,0.7708333333333334,0.7744755244755245,0.72,0.8181818181818182,0.7659574468085106
6,5,0.8951048951048951,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174
7,1,0.9515050167224081,0.8163265306122449,0.8193979933110368,0.7692307692307693,0.8695652173913043,0.8163265306122449
7,2,0.8097643097643098,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
7,3,0.8409090909090909,0.8125,0.8094405594405594,0.8095238095238095,0.7727272727272727,0.7906976744186046
7,4,0.8680069930069929,0.7708333333333334,0.7744755244755245,0.72,0.8181818181818182,0.7659574468085106
7,5,0.8968531468531468,0.8125,0.8129370629370629,0.782608695652174,0.8181818181818182,0.8
