Candidate,params,roc_auc_mean,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean
0,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9847773398425694,0.9431279620853081,0.9409198632435538,0.9568308858828545,0.9506141920095408,0.9535403206710352
1,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9855752761065675,0.9431279620853079,0.9404545261115501,0.9553746740585491,0.9521526535480023,0.9536320490916079
2,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.9729493185609656,0.9127962085308058,0.9194152999371376,0.9649771499246695,0.8904114490161001,0.925980956872199
3,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.9752817948771815,0.9165876777251185,0.9225132417493922,0.9652454526764311,0.896577221228384,0.9294529935365526
4,"{'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9955902079195706,0.9886255924170616,0.9888931228012339,0.9938096301577811,0.9876326774001193,0.9906911526200319
5,"{'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9956192150671258,0.9886255924170616,0.9888931228012339,0.9938096301577811,0.9876326774001193,0.9906911526200319
6,"{'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.9951262928649959,0.9886255924170616,0.9898027783299101,0.9969107824427482,0.9845438282647585,0.9906486342098839
7,"{'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.995913784401211,0.9867298578199051,0.9873486982335535,0.993785019316985,0.9845438282647585,0.9891104111153848
