Candidate,params,roc_auc_mean,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean
0,"{'model__depth': 4, 'model__iterations': 100, 'model__learning_rate': 0.05}",0.8787991396687049,0.7974489795918368,0.7949337297163384,0.7905234982882041,0.773913043478261,0.7775581304725294
1,"{'model__depth': 4, 'model__iterations': 100, 'model__learning_rate': 0.1}",0.8650935216152608,0.7892857142857143,0.7854835985270767,0.7864568764568765,0.7470355731225297,0.7639764996907854
2,"{'model__depth': 4, 'model__iterations': 200, 'model__learning_rate': 0.05}",0.8699137416528722,0.7891156462585034,0.7860404490839273,0.7848515406162464,0.7561264822134388,0.7665891382244672
3,"{'model__depth': 4, 'model__iterations': 200, 'model__learning_rate': 0.1}",0.8608250847381281,0.7852891156462585,0.781835073139421,0.7792686529157118,0.7474308300395258,0.7606087710738875
4,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.05}",0.8856817900296161,0.801530612244898,0.7975237323063411,0.8057543859649122,0.7557312252964427,0.7759557170039786
5,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.1}",0.8735853518462214,0.7931972789115647,0.7908899474116865,0.7824229691876751,0.7735177865612647,0.7733548673416633
6,"{'model__depth': 6, 'model__iterations': 200, 'model__learning_rate': 0.05}",0.8733950429602604,0.7975340136054422,0.7950761798587885,0.7871957671957672,0.773913043478261,0.7772637103375223
7,"{'model__depth': 6, 'model__iterations': 200, 'model__learning_rate': 0.1}",0.8674864587908064,0.7810374149659864,0.7782929630755718,0.7716106442577031,0.7557312252964425,0.759020546851392
