Candidate,params,roc_auc_mean,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean
0,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.8919602941342071,0.8055272108843538,0.8041670889496976,0.7887918313570487,0.7920948616600791,0.7879867126398116
1,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.8917840613492787,0.8138605442176872,0.8111600959427046,0.8060041407867494,0.78300395256917,0.7927502527805863
2,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.9064772586511717,0.8263605442176871,0.8245988311205703,0.814016930437983,0.8098814229249012,0.8089621846757291
3,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.9007235115930768,0.8264455782312925,0.8247964595790684,0.8165667233859454,0.8102766798418972,0.8094308943089432
4,"{'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.860047802439107,0.7767006802721089,0.7752333817551208,0.7535858585858586,0.7644268774703556,0.7569516280820627
5,"{'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.8667550645811515,0.7850340136054422,0.7822815670641757,0.7734075573549258,0.7557312252964425,0.7621947612555097
6,"{'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.8715471324166977,0.8056122448979591,0.8046687611905003,0.7841098901098901,0.8007905138339921,0.7892813348044292
7,"{'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.8734077114511898,0.8016156462585033,0.8003209351035437,0.7829393215480172,0.7920948616600791,0.784596330367872
