Feature,Mean_absolute_SHAP
ca,0.11909175678770252
thal,0.11502277927828655
cp,0.08549843545447669
slope,0.06398674682430598
sex,0.05244202735173628
exang,0.028043779814248427
restecg,0.017999306219232864
thalach,0.011322851314660013
age,0.01028916327724667
oldpeak,0.009705515046131067
chol,0.007332731397249614
fbs,0.00479677351070114
trestbps,0.003994945656317817
