Candidate,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
0,1,0.9999050332383665,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961
0,2,0.9998100664767331,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
0,3,0.9848053181386515,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
0,4,0.9980147475893364,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
0,5,0.9965967101531481,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
1,1,0.9999050332383665,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961
1,2,0.9998100664767331,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
1,3,0.9845204178537512,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
1,4,0.9984874267347325,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
1,5,0.9928152769899792,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
2,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
2,2,0.9998100664767331,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
2,3,0.9829059829059829,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
2,4,0.9997163925127623,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
2,5,0.9928152769899792,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
3,1,0.9999050332383665,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923
3,2,0.9998100664767331,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
3,3,0.9827160493827161,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
3,4,0.9996218566836831,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
3,5,0.9925316695027415,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
4,1,0.9999050332383665,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961
4,2,0.9997150997150998,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
4,3,0.9875593542260209,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
4,4,0.9991491775382869,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
4,5,0.9971639251276232,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
5,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
5,2,0.9998100664767331,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923
5,3,0.9878442545109212,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
5,4,0.9993382491964454,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
5,5,0.9970693892985442,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
6,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
6,2,0.9998100664767331,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
6,3,0.9866096866096866,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
6,4,0.9996218566836831,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471
6,5,0.9923425978445831,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
7,1,0.9999050332383665,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923
7,2,0.9998100664767331,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
7,3,0.9827160493827161,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
7,4,0.999149177538287,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
7,5,0.9923425978445831,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
