Feature,Mean_absolute_SHAP
troponin,0.3763038098289018
kcm,0.17501236275127377
gender,0.004225885748272455
pressurehight,0.0036332284561364846
glucose,0.002122264367678305
impluse,0.0016123144324327223
pressurelow,0.0015915106166789416
age,0.0004207667024936674
