Dataset,Model,Method,roc_auc,balanced_accuracy,recall,f1
Cleveland,CatBoost,Class weighting,0.8735853518462214,0.7908899474116865,0.7735177865612648,0.7733548673416633
Cleveland,CatBoost,No balancing,0.8767293897728681,0.793535128317737,0.7557312252964427,0.7733263786695438
Cleveland,CatBoost,SMOTENC,0.8723984550071506,0.8026260374086462,0.7739130434782608,0.7848418248418249
Cleveland,Extra Trees,Class weighting,0.8919602941342072,0.8041670889496976,0.792094861660079,0.7879867126398116
Cleveland,Extra Trees,No balancing,0.8912297444906141,0.8196068826503609,0.7924901185770751,0.8030645894871526
Cleveland,Extra Trees,SMOTENC,0.8904972241928764,0.8043647174081956,0.7924901185770751,0.7894641594300899
Cleveland,Gradient Boosting,Class weighting,0.8525663547402678,0.7852763983198766,0.7924901185770751,0.7710032991634265
Cleveland,Gradient Boosting,No balancing,0.8573668682364335,0.7968148598583381,0.7924901185770751,0.7808938326201023
Cleveland,Gradient Boosting,SMOTENC,0.859140456966544,0.8003209351035437,0.7920948616600791,0.7838416458595572
Cleveland,XGBoost,Class weighting,0.8621797687015078,0.7854188484623267,0.7924901185770751,0.7714420284732872
Cleveland,XGBoost,No balancing,0.8583983649201039,0.7924118554553337,0.783399209486166,0.7762568213239888
Cleveland,XGBoost,SMOTENC,0.8697634088938436,0.7877239507674291,0.7743083003952569,0.7697633148304822
HDC,CatBoost,Class weighting,0.996793398544202,0.9876585548999994,0.9876326774001193,0.9899308318597111
HDC,CatBoost,No balancing,0.9969076172176947,0.9856698119356466,0.9860942158616577,0.9883746207254358
HDC,CatBoost,SMOTENC,0.9970774369639941,0.9893434042271252,0.9860942158616577,0.9906790385663651
HDC,Extra Trees,Class weighting,0.9847773398425697,0.9409198632435538,0.9506141920095409,0.9535403206710352
HDC,Extra Trees,No balancing,0.9828861061419201,0.9258565188514138,0.9351818723911748,0.9409143509850946
HDC,Extra Trees,SMOTENC,0.9820590765438564,0.9346298262426075,0.93056648777579,0.945085085477729
HDC,Gradient Boosting,Class weighting,0.995732787341787,0.989349367256344,0.9861061419200954,0.9906913389646951
HDC,Gradient Boosting,No balancing,0.9959298043189138,0.9876855366645497,0.9876565295169947,0.9899372366480927
HDC,Gradient Boosting,SMOTENC,0.9955147085360736,0.9873606242919912,0.9845676803816339,0.9891470306009431
HDC,XGBoost,Class weighting,0.9970233872483826,0.9885741734578943,0.9845557543231962,0.9899188326578032
HDC,XGBoost,No balancing,0.9969474138390758,0.9898027783299101,0.9845438282647585,0.9906486569685274
HDC,XGBoost,SMOTENC,0.9970991020981567,0.9873396055566598,0.9845557543231962,0.989140669121019
